sentiment,airline,text
negative,American,@AmericanAir No. It does. You could not be more wrong. http://t.co/66NXZhBbMT
negative,US Airways,@USAirways honest question - how is a 1-way ticket from Charlotte (your hub) to LAX (2nd biggest city in USA) almost $600?????
negative,Delta,"@JetBlue You just don't get it.  It's not about the money, It's about PEOPLE!!!! How about a public apology from the president of Jet Blue."
negative,Southwest,"@SouthwestAir been on the phone for about an hour waiting..can you please answer, Thank You!  #notcool"
positive,US Airways,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc
negative,United,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472
negative,United,@united well perhaps you could highlight where that is stated.  We travel between Canada &amp; USA on United with only Nexus
negative,US Airways,"@USAirways , since jan 22 have been on 10 flights. Why the disrespect in CLT, flt #2063 at 2:50pm on 18feb to DCA? just asked herba question"
negative,US Airways,@USAirways Total BS... I offered to pay for a full First Class airfare ..Told Sold out.. 3 seats and they gave the seats to others... #crap
neutral,United,@united flt 4567 has had two more updates in the last 3 minutes.
negative,United,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.
neutral,US Airways,@USAirways so it's a $25.00 bag fee for a golf bag on a domestic flight?
positive,American,@AmericanAir Thanks! Great stuff! I can only imagine how jammed everything is.
negative,US Airways,@USAirways why I can't book a flight to PRN through your website?
positive,Delta,@JetBlue Thanks for the reminder of a few older flights I'd taken and the easy access to add points to my new JB account! Awesome service.
negative,US Airways,@USAirways @BohnJai they lost my bag @PHL baggage handlers broke open my bag and stole my camera
negative,US Airways,@USAirways another fiasco at National. Forever from jet to gate on 8:05am flight from RDU
neutral,United,@united patiently drinking and tweeting about my experience
negative,United,"@united yep, after long waiting on the phone we managed to rebook it. Hope it will be a pleasent one. Thanks for ur help."
negative,US Airways,@USAirways pilot forgets to show up to work and Ricky J (gate agent) gives customers attitude. #usairwaysfail
negative,American,@AmericanAir still waiting for a flight... I should get my money back
neutral,American,"@AmericanAir if business class if full but 1st class empty, do you guys upgrade EXP members to 1st?"
negative,United,@united direct messages not going through please help
positive,United,@united all good! Next flight was a little delayed so it all worked 👍
negative,US Airways,@USAirways I left an item on plane BOS-PHL on Friday.  I've called PHL US Airways # &amp; left 6 msgs. No return call what to do at this point.
negative,United,@united Boston is all self service. Swipe yr own boarding pass at gate. Most difficult: Tag your own bag. Not easy! #ImproveTheProcess
negative,United,"@united how can you not know, after two hours of us sitting on the plane with no bags off loaded, the planes weight?!"
negative,Southwest,"@SouthwestAir that's gotta be a new record: 4 hrs in the air, 11 hrs waiting and 0 bags delivered to destination."
positive,United,"@united All flights Cancelled Flighted :( Trip refunded without difficulty, staff extremely helpful, no complaints! Way to handle bad weather!"
negative,United,.@united in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.
positive,US Airways,@USAirways yes and our flight attendant (who is wonderful btw) secured the tray table so it's not flailing about. http://t.co/JhXWMuTx4G
neutral,United,"@united they had snacks available, just no fresh food...not sure what happened, but I'm sure we will grab a bite before our SFO connection"
negative,Delta,@JetBlue That is not very gracious of @jetblue to tell me where I can go BUY water or a snack when our flight is delayed over 3 hours.
negative,US Airways,@USAirways 1 person to check in 50 people and the plane boards in 20 minutes and he is telling people @AmericanAir exec bene's not honored
negative,United,@united Just had the worst experience ever flying with you
positive,American,@AmericanAir 1) I was on 1610 today to YYZ. I had a bit of a bag issue that was cleared up beautifully. Thank you to all of the check in
positive,Delta,@JetBlue thank you guys! You are the best! 🙌✈️
neutral,US Airways,@USAirways sorry I didn't realize I wasn't following you
negative,United,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt"
negative,United,@united the best seats should be for paying customers and we should get to board first #badcustomerservice
negative,US Airways,"@USAirways so i ask for ice and the attendant snaps ""i dont have ice on this cart"" not 5 min Late Flightr 2 cups of ice to the people 2 rows ahead."
positive,Delta,"@JetBlue she was a phone agent, pls do! Peggy was pleasant, informative and delivered. ⭐️⭐️⭐️⭐️⭐️"
negative,American,@AmericanAir but seriously if my cats dead I'm going to be pissed/very thankful because it is evil and wants my soul
negative,American,@AmericanAir Unfortunately that is not true. A robot apologizes and hangs up. So how do I get help?
positive,American,@AmericanAir awesome flight this morning on AA3230! Awesome crew and even landed early!
negative,United,"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed"
negative,United,@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.
neutral,United,@united 4 people MCI to DEL. Preferably with Jet Airways EWR-BRU-DEL segment. Anytime in December
negative,American,@AmericanAir I am going to keep these tweets coming till AA does something...which I know is nothing..hoping I go way...not likely.
negative,US Airways,@USAirways great but that still does not help me..
negative,United,@united You can bump me up to Group 3 so I won't be forced to check my bag and wait 30+ minutes at LGA.
positive,United,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
negative,US Airways,@USAirways horrible cust service exp at DIA today. Wife waited 3 hrs on the plane b/f flight 695 was Cancelled Flightled. Still waiting for bags.
positive,American,@AmericanAir thanks
negative,American,@AmericanAir now down to only one agent helping a stagnant line of almost 100 customers. Super.
negative,American,@AmericanAir still waiting for a flight... I should get my money back
negative,Delta,@JetBlue delayed flight bummer
positive,Delta,@JetBlue sure is 💙
positive,Southwest,"@SouthwestAir What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!"
negative,US Airways,@USAirways  and now I'm going to miss my G'ma's Memorial because I didn't #FlyDelta.
negative,United,"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out."
negative,Delta,@JetBlue That's not what I heard. Weather was fine this morning. Flight 136 was circling for some time.Someone forgot to clean the runway.
neutral,United,@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?
negative,Delta,"@JetBlue 2 hour delay while sitting on the plane and you still wanna charge me for beer? Nah, I'm good."
positive,United,@united we were able to get on the moon flight! Just got to our hotel in Puerto Rico! Thank you!
neutral,Delta,@JetBlue Not for the dates or destination I'm headed 😔
negative,American,@AmericanAir *does = doesn't
neutral,Delta,@JetBlue @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments. why would you do that?
positive,Delta,@JetBlue @TSA JetBlue never disappoints !
negative,United,@united you can't say the flight is pulled in and departs in 2 mins if boarding hasn't even started! http://t.co/2IKbP8gxWi
negative,United,@united What's going on with your website? I'm Flight Booking Problems three tickets today and I've been booted off the system umpteen times.
negative,American,@AmericanAir can u help rebook passenger via Twitter/DM.  Been on hold for 1.5 hours. Thanks!
negative,United,@united I would encourage you to re-interview the sole flight attendant on UAL 6166 from BUF to ORD. Blatantly not stable. Uncomfortable.
negative,American,@AmericanAir you have to run the engine to troubleshoot an issue before boarding the plane!?! How about another plane? #aa2227 #miatoiah
negative,Southwest,@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are
neutral,American,"@AmericanAir yea no worries. I'm just going home to Denver. Not your fault, weather sucks bad."
negative,Delta,"@JetBlue appreciate what you've done on your end to make this right, but still unhappy with initial incident. Will be calling."
negative,United,@united Why don't you respond to my e-mails of facebook msg?! I'm still wating for my tickets!! I'm getting really angry and disappointed!
negative,Delta,@JetBlue why is t that every time I fly jfk even more speed doesn't work waiting for 10 min #nogood
negative,US Airways,@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold
negative,United,@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?
negative,American,@AmericanAir Sorry that is a sad answer a fully refundable first fare and no response in 6 weeks ! No more AA in my future !
negative,American,@AmericanAir Trying to get my flight changed through dallas. Calling your number just says thanks for calling and hangs up. Guess I'm stuck
positive,US Airways,"@USAirways awesome! And yes, @UpInAirClaire is!"
positive,Southwest,@SouthwestAir thank you :-)
positive,US Airways,@USAirways Thank you. And thanks for being so accommodating.
positive,American,@AmericanAir oh it's nothing my issue was already resolved and I am in the air
negative,Delta,@JetBlue it's sunny and gorgeous in ny actually. What's the real reason?
neutral,American,@AmericanAir what is the status of flight 1675 tomorrow
negative,US Airways,@USAirways I don't think I've ever had a us airways flight that went smoothly.
neutral,Southwest,@SouthwestAir think you need to follow me for a DM
negative,US Airways,@USAirways I better get a free flight
negative,American,@americanair thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX
negative,United,@united on flight 1665 but it's not departing! Website says delayed due to operational difficulties-what does that mean?
positive,Delta,"“@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)” you know me too well 💘"
neutral,Southwest,@SouthwestAir I've been a fan of imagine dragons since 2012 and they're my fave band and #DestinationDragons is during my bday can I get tix
negative,American,@AmericanAir @SouljaCoy what is AA going to do to fix their utterly embarrassing customer service? You won't even answer the dang phone!
negative,Delta,@JetBlue can you let me know status of flight #454 PBI-JFK delayed 2.5hours now on board problem with hatch..
neutral,US Airways,@USAirways @AmericanAir can someone help me with some travel issues today?
negative,US Airways,@USAirways I'm tired of paying for luggage &amp; less than stellar customer service @AmericanAir. #notafanofyourmerger
positive,Southwest,"@SouthwestAir Oh no worries NL, no disappointments here. Better to have NO lounges than like #Delta who has them but does disappoint!"
negative,Delta,@JetBlue are yall going bankrupt or is inflation just really bad these days? You went from $50 to $120 for overweight fees! Outrageous
negative,US Airways,@USAirways been sitting on the tarmac for 90 mins now bc engine is broken. How are u going to compensate passengers #WorstAirline
neutral,Delta,@JetBlue ANYWHERE!! http://t.co/FeFHPmFPlE
negative,American,@AmericanAir thanks for the DM rescheduling. Unfortunately your operations process at LAX is chaos &amp; the reps refused to print the ticket
negative,US Airways,@USAirways @AmericanAir Is there a way to reserve a veg meal online for a flight to Brazil tomorrow? I've been onhold for more than 1 hour.
positive,Delta,@JetBlue thank you 😊 standing in line now!
negative,US Airways,@USAirways congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too
negative,US Airways,"@usairways you made us miss our flight, first class now I can't even enter the admirals club.  Not happy  dm me to fix this."
negative,Delta,@JetBlue should i continue?
neutral,United,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.
neutral,American,@AmericanAir Hi. I have KOA-LAX-PHL-ORD booked as a 1-way savr awrd. If I called to chnge it to KOA-LAX-PHX-ORD would I have to pay any fees
negative,American,"@AmericanAir Define ""sincerely"". Your actions do not reflect what you're saying in a poor attempt to redeem yourselves on social media."
positive,American,@AmericanAir @beantownmatty Sounds like a date!
negative,Delta,"@JetBlue I may not make my connection and need to find out my options, yet no one is here."
negative,United,"@united-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on, this is your business."
negative,Southwest,"@SouthwestAir Your wifi stinks. I'm not mad, but i wouldn't hate it if i got my money refunded."
negative,Southwest,"@SouthwestAir I recommend upgrading your IVR and using call back, email, and texting from a know caller."
negative,US Airways,Number or email? That's the purpose of sending you a tweet? @USAirways
positive,US Airways,@USAirways I made it! Thanks for the help!
neutral,Southwest,"@SouthwestAir we desparately need yall to make a nonstop BNA-&gt; TUL! Cmon it'll be popular. 😄 (right, @annebevi @PaulBev1  @MikeAbramson??)"
positive,United,@united You're welcome.
negative,United,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
negative,Southwest,@SouthwestAir even with the 50$ voucher for picking up my bag
positive,US Airways,@USAirways flight 437 PHX&gt;ORD.  Lead FA Bill is the most professional FA I have seen in 9 years of flying USAir. I have no AB cards. :-(
negative,American,"@AmericanAir 11 out of 11 delayed flights, you suck and getting worse"
negative,US Airways,@USAirways She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten
neutral,American,@AmericanAir are flights from Pensacola fl delayed flight 3670
negative,United,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.
negative,US Airways,@USAirways my phone has been on hold since midght  fkn 7 hrs of hold ?? Unacceptable!!!!!!!!
neutral,United,@united ok. Can I DM you the info?
positive,United,@united I flew United last month and the experience was AWESOME!
negative,US Airways,@USAirways I have a story for you. It starts with a two hour delayed flight that makes me miss my connection in Miami.
negative,United,@united not sure why the people in row 7 that paid for a premium seat can't use their overhead space... http://t.co/i9s86KiHge
neutral,American,@AmericanAir can you tell me why flight 1542 from dfw to phl was Cancelled Flightled for tomorrow?
negative,American,@AmericanAir just sad that even after spending so much on tickets all I wanted was for my wife to still go with her sister and no help
negative,US Airways,"@USAirways Batting 1.000! Four flights in a month, all four delayed!"
negative,American,@AmericanAir now on 5th plane of the day. First 4 all taken out of svc. Scheduled dep 3 p.m. Still on ground ORD 10:45pm
negative,Delta,"@JetBlue spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone."
neutral,United,"@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL, Need help!! #custserv"
neutral,Virgin America,@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?
positive,Delta,@JetBlue thanks...
negative,US Airways,@USAirways thanks for the worst customer service on the face of the earth. I loved the 5+ hrs on hold along w 2 Cancelled Flightled flights
negative,Delta,"@JetBlue the amount of money I spent on hotels for a WEEK bc of flight Cancelled Flightlation, another flight doesn't make up for the money lost."
positive,Southwest,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763
negative,American,@AmericanAir I understand that but I'm hoping I can rectify this in advance. I would call but I am in AUH. I just need my one checked bag.
neutral,Virgin America,"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?"
negative,US Airways,@USAirways I'm traveling around the world until the end of the year. 800 numbers do me no good.
negative,United,@united ok it's now been 7 months waiting to hear from airline. I gave them quite a bit more than the 30 days requested! Terrible service
negative,United,"@united Been sitting on flight 435 for an hour after landing in Newark. First no gate, then no jetway operator. Seriously!?"
negative,US Airways,"@USAirways @AmericanAir as a Gold Dividends member, why can't I get anyone on phone to handle my Cancelled Flighted American flight tonight 😡"
neutral,US Airways,"@USAirways while I’m asking… 2 of my 11 non upgraded flights, Attendants came &amp; greeted me &amp; thanked me for my business b/c I was Exec Plat."
neutral,Southwest,@SouthwestAir Can you equip a 737 with flamethrowers and a snow plow?
negative,United,@united I hope not to see the same issue on my return flight tomorrow
negative,US Airways,@USAirways This is ridiculous. You delayed my husband's flights &amp; made him miss his connection. Told him to leave his bags. Sent him (1/3)
neutral,United,@united !!!!! YAAYY!!! YAY PROM!!!! http://t.co/DXicoyioxF
neutral,Southwest,@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?
negative,Virgin America,@VirginAmerica Already checked in so the page expired :X
positive,American,@AmericanAir btw you guys should consider making a lounge at Austin Intl. airport! Very popuLate Flightd area! Will help the company for sure👌
negative,US Airways,@USAirways but my bag is still missing
negative,US Airways,@USAirways now what? You Cancelled Flightled my flight again... Are you paying for my hotel?
negative,US Airways,@USAirways I did and it's been a disaster. You had me sitting on the runway only to bring the plane back to the gate smh
negative,United,@united I shouldn't have to spend my own $$$ on a hotel because of a weather delay. The weather being something COMPLETELY OUT OF MY CONTROL
neutral,Southwest,@SouthwestAir sent DM
negative,United,"@united, UA1641 EWR-MCO 17 Feb wifi never connected but allowed me to purchase access twice &amp; charged me. Who do I need to file claim with?"
negative,Delta,@JetBlue I'm curious to know how do you compensate for passengers missing engagements due to a two hour wait on the tar-mat to get to a gate
negative,American,"@AmericanAir Not only was 5418 Late Flight, but we've been boarded and waiting for over 30min. WTF?"
negative,US Airways,@USAirways CSTSVC in PHL honors UR system over my reality. No RCD of change in HPN. Now extra hours in PHL or $75 to get to CLE.
negative,United,@united A change fee of $200. Same exact flight from ATL-HOU is $165. Why a charge of $574? The math doesn't add up.
negative,US Airways,"@USAirways please explain, I have plenty of time since I'm STRANDED!!"
positive,Delta,@JetBlue great flight http://t.co/E0R0NTO4TR
neutral,United,@united done as requested.
negative,US Airways,@USAirways sitting on the ground in Charlotte with no gate or comms for flight deck great happy Friday hope i make my connection
negative,American,"@AmericanAir ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is."
positive,US Airways,@USAirways Good morning.
negative,United,"@united poor showing today, no assistance to passengers who mis connected due to maintenance and waiting for baggage"
negative,American,"@AmericanAir 719. Looks like we are about to get going, finally!"
negative,United,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards"
positive,US Airways,@USAirways thanks for getting me rescheduled on a direct flight to NOLA tonight in 10 minutes--and hopefully an hour earlier getting there!
negative,American,@AmericanAir  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes? #Yousuck
negative,US Airways,@USAirways is there a number to call to modify reservation.  Please help. Very frustrating with american and us air merger
negative,United,.@united Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? #unfriendlyskies
negative,US Airways,@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life
positive,Delta,@JetBlue Haha you're doing everything right! Don't change a thing! Slash this Twitter engagement just makes you even cooler! #bestairline
negative,United,"@united since bulkhead seats cannot have bags on floor, why don't u reserve o/head space above those seats? In 1B on UA246 - not impressed"
negative,United,@united why are your agents working so slowly to rebook people who are on #UA1481. We have all wasted an entire day at STT.
negative,American,@AmericanAir we got to 15 minutes AFTER takeoff time before anyone wandered over to address the line of people.
neutral,American,@AmericanAir do you know if there is wifi on this flight? If so how much is it? Thank you :-)
positive,US Airways,@USAirways will do. Hoping for a voucher for a future flight #Optimistic
negative,Southwest,@SouthwestAir Your #Android Wi-Fi experience is terrible! $8 is a ripoff! I can't get to @NASCAR or MRN for @DISupdates #BudweiserDuels
neutral,Southwest,@SouthwestAir seems like you could make more money by opening up seats on a more desirable flight.
negative,American,@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒
negative,United,@united can we get an explanation on why UA978 from São Paulo to Houston has been delayed? Now we're hearing from crew about Cancelled Flightlations.
negative,US Airways,@USAirways 4 hrs and counting today alone... like I don't have other things to accomplish today than to just keep holding!!!
negative,United,"@united did your super computer 💩 ots pants? Lots of cranky people in line at CMH reFlight Booking Problems, delaying check-ins of on-time, direct flyers"
negative,Southwest,"@SouthwestAir first you had a good idea thatthis would happen and did not Cancelled Flight it earlier, then very amateurish that there was no plan."
negative,United,"@united how much longer will it take? It a guitar, not a royal commission!"
neutral,Delta,@JetBlue now out of A gates and into main terminal @ DCA. @NATCA members keeping watch from ATCT. #avgeek http://t.co/hPsiEaokwh
neutral,US Airways,@USAirways Flight 1815 (N747UW) arrives at @FlyTPA following flight from @PHLAirport http://t.co/TtLwZgIyAg
positive,United,@united you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.
negative,Delta,@DeltaAssist now at 57 minutes waiting on Silver Elite line for someone to pick up! Help!
negative,Delta,"@JetBlue If your confirming to me that the rate won't go down again looks like I can't fly JetBlue this time around, can't afford that price"
negative,Delta,@JetBlue WHAT'S UP WITH WEBSITE CAN'T ACCESS FLIGHT INFO
negative,Virgin America,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
positive,Southwest,"@SouthwestAir thank you for integrating with Passbook on iOS, it all works so much better now!!!"
negative,Southwest,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?
negative,United,@United flight delayed-no one remembered to turn the heat on flight 559 leaving ORD-seriously???
neutral,Southwest,@SouthwestAir lemme come to #DestinationDragons 😭😭😭 this university student could use a break from all these books.
negative,American,@AmericanAir @USAirways So who do I need to talk to to ensure the statement is sent to my bank so I can get the credit for the charges?
negative,United,@united Can we get Any (free) upgrade because all the problems we've had? Our reservation is MKWLKR.
negative,Delta,@JetBlue what happens when I have a confirmed flight but no seat available during online checkin except for Even More Space upgrades?
neutral,US Airways,@USAirways on the phone now. looks like global
neutral,Southwest,@SouthwestAir can you follow for quick DM?
negative,US Airways,@USAirways no online clearly states I can NOT- It says to call res. I already explained that.
negative,United,@united customer service has no solution and now we might miss a show because of them
neutral,Southwest,@SouthwestAir -- any updates on flights getting Cancelled Flighted into DAL? I have a connecting flight there and hope it doesn't delay due to weather
positive,US Airways,@USAirways knows customer service!! Thank you for starting our 2 week vacay on an amazing note! Thank you sarita!!!
positive,Southwest,@SouthwestAir constantly providing wonderful views and service! #SouthwestLuv http://t.co/9UNxqOTzIK
neutral,Southwest,@SouthwestAir no fare giving out clues.  In route now.
neutral,Delta,X____x RT @JetBlue: Our fleet's on fleek. http://t.co/Y39YzDpBvU
negative,United,"@united 1hr delay at the start, huge queues at security, no representative to meet us, rude staff at baggage reclaim  #inefficient"
negative,United,@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather
negative,US Airways,@USAirways 2 hours and counting. ..what kind of travel voucher do I get for this??
negative,United,@united what is the problem with your flights to ny today
neutral,Southwest,"@SouthwestAir Hi! Winter Wx Advisory issued for STL. Snow &amp; Ice &amp; Cold, oh my! Will you issue a travel advisory for that?"
negative,Delta,@JetBlue thanks. Home to MSY. TSA precheck agents directing people after photo until scan beyond rude. One grabbed and pushed children.
negative,Southwest,"@southwestair three flights with three  check in agents, not enough. #missedflight  back to Jet Blue"
positive,Delta,@JetBlue sounds great! Thank you!! :)
negative,American,"@AmericanAir 
It's not what happens to us that matters...It's our response that matters. Way to drop the ball AA."
positive,United,"@united Had wonderful, on time flights from OGG to MSN Lost RX eyeglasses (thick) in the Admiral Club in Chicago this morning. Found?"
neutral,US Airways,@USAirways I am a UK citizen. Is there a UK number I could try?
negative,US Airways,@USAirways please fix your reservations phone system.  The weather/backup could not possibly be bad for 10 days!  #goodgriefpeople
negative,US Airways,@USAirways Cant help but be frustrated after an hour call with u ends up with a disconnection and no answers especially as div pref member.
negative,United,@united it's a shame the great customer service wasn't continued in SFO. Slightly absurd
negative,Southwest,@SouthwestAir Trying to add my dog on the flight but can't get through.
negative,US Airways,@USAirways the jetway because he felt I was disrespectful. I have never been treated this way particularly when I was trying to be a good c
neutral,American,@AmericanAir I bet they do! I'm sure they have some form of wear and tear on their skin. I hope they will survive the rest of the winter xxx
negative,Southwest,@SouthwestAir our flight is delayed till tomorrow curse the weather
positive,United,@united flight to RSW tonight -me &amp;  twin 3 year olds. A pilot who was in row by me stayed to help me get the boys &amp; bags off. Lifesaver!!
negative,United,"@united if you don't like delayed bags, why do you let it happen so much?"
negative,American,@AmericanAir what I am put off by is the fact that no gate supervisor has tried to come by and communicate with us.
neutral,US Airways,@USAirways How will I change it?
negative,Virgin America,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
negative,American,@AmericanAir Was told you could only refund me the cost of my original return flight (note: flight you had booked for me was more expensive)
negative,American,@AmericanAir just messaged you. Please have someone contact us immediately.
negative,United,@united there's no reason it should take 7-10 days to respond.
neutral,United,"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?"
neutral,Southwest,"@SouthwestAir any idea if there will be any ""spring sales"" soon for travel from Late Flight August to early September? Going from PA to LAX."
negative,American,"@AmericanAir I have been checking consistently, and called multiple times. As a loyal AA customer, I'm disappointed."
negative,US Airways,@USAirways @AmericanAir who runs the show at the airport have a boarding pass says us airways and I have to wait in American line #yousuck
positive,Delta,@JetBlue And we are glad to see what is going on and fix! @ProfessorpaUL15: please DM me your confirmation # so we can check.
neutral,Delta,@JetBlue this feels nice - what we've got going on here. Let's just swap me out with the fool in 5a and we can make it all better.
